count,index,impulsemeasures,parameters,calculated,measures,key
26,0,"[u'2.836', u'1640', u'-7.8101', u'0.26882', u'2760.2']","[u'0.072948', u'0.87', u'-0.010833', u'4731', u'1.5153']","[u'2.2036', u'580', u'7.9897', u'0.29255', u'6463']","[u'7.5284', u'7671', u'7.996', u'0.29283', u'6202.1']",4902071660707840
27,253,"[u'4.3161', u'4750', u'-13.239', u'0.37067', u'2348.7']","[u'0.03195', u'0.96', u'-0.0083333', u'4223', u'18.406']","[u'5.185', u'1530', u'-18.939', u'0.40363', u'6081.5']","[u'0.66201', u'4984', u'-18.938', u'0.4053', u'5848.4']",4906607146172416
26,12,"[u'0.33164', u'1825', u'5.6527', u'0.067039', u'22.081']","[u'0.018798', u'0.83', u'-0.00875', u'61', u'205.9']","[u'0.50004', u'3090', u'-14.537', u'0.058914', u'254.66']","[u'2.0327', u'9553.7', u'-14.595', u'0.061437', u'252.37']",4915961584943104
26,4,"[u'0.95541', u'7160', u'0.76472', u'0.16415', u'150.47']","[u'0.025601', u'0.9', u'-0.0095833', u'243', u'120.77']","[u'1.4335', u'2020', u'-18.754', u'0.13185', u'796.33']","[u'7.9808', u'9918.3', u'-18.737', u'0.13501', u'783.48']",4920952336941056
26,124,"[u'0.80471', u'5810', u'1.8724', u'0.13037', u'287.83']","[u'0.039887', u'0.8', u'-0.0105', u'384', u'96.376']","[u'1.0838', u'1370', u'-15.086', u'0.10669', u'1145.7']","[u'1.1776', u'7821.2', u'-15.068', u'0.10748', u'1124.5']",4929610991009792
26,132,"[u'1.7974', u'1560', u'-8.2238', u'0.17323', u'4558.1']","[u'0.064875', u'0.82', u'-0.0063333', u'10061', u'1.5191']","[u'1.5143', u'430', u'7.1968', u'0.19103', u'8910.6']","[u'7.4824', u'1052.3', u'7.2018', u'0.19418', u'8398.6']",4938639012265984
29,143,"[u'0.29353', u'7000', u'-50.989', u'0.0296', u'5885']","[u'0.012948', u'0.73', u'-0.0075', u'11126', u'5.5628']","[u'0.24467', u'4350', u'-1.9419', u'0.026178', u'9182.9']","[u'1.3527', u'9136.9', u'-1.889', u'0.028345', u'8631.6']",4945888917061632
26,120,"[u'0.54872', u'6610', u'-1.4407', u'0.078394', u'874.38']","[u'0.029955', u'0.76', u'-0.01', u'1197', u'4.2414']","[u'0.44754', u'1760', u'8.2051', u'0.067479', u'2700']","[u'6.4817', u'8508.3', u'8.2313', u'0.068423', u'2635.5']",4957528278433792
27,141,"[u'2.3217', u'3770', u'-0.57333', u'0.42945', u'60.204']","[u'0.028957', u'0.96', u'-0.0020833', u'113', u'99.587']","[u'3.51', u'1190', u'-18.076', u'0.36481', u'426.12']","[u'3.774', u'2115.3', u'-18.089', u'0.37076', u'420.18']",4962218382721024
27,133,"[u'0.69099', u'7705', u'-53.322', u'0.056636', u'4759.8']","[u'0.012948', u'0.88', u'-0.0080833', u'10706', u'6.0394']","[u'0.60904', u'4200', u'-7.1665', u'0.055823', u'9081.3']","[u'1.4672', u'9966.2', u'-7.1207', u'0.057686', u'8545']",4976975890350080
27,145,"[u'3.2799', u'2075', u'-11.882', u'0.25763', u'4800.4']","[u'0.024875', u'0.96', u'0.00041667', u'22050', u'0.58289']","[u'2.3545', u'1330', u'6.7508', u'0.31444', u'10307']","[u'1.9176', u'2281.1', u'6.7763', u'0.32066', u'10946']",4978805546418176
27,152,"[u'5.1227', u'2530', u'-13.648', u'0.38865', u'3998.7']","[u'0.048821', u'0.95', u'-0.0088333', u'11049', u'12.043']","[u'6.405', u'940', u'-17.445', u'0.49542', u'9164.8']","[u'1.6811', u'5981.9', u'-17.439', u'0.4982', u'8616.1']",4995238091292672
26,125,"[u'5.1831', u'320', u'-12.126', u'0.37569', u'6301.7']","[u'0.091995', u'0.9', u'-0.010833', u'22050', u'15.559']","[u'6.2108', u'330', u'-17.402', u'0.47443', u'10307']","[u'5.9524', u'2774.4', u'-17.4', u'0.47464', u'9793.6']",5002556715565056
26,144,"[u'3.3537', u'3615', u'-12.205', u'0.28849', u'2579.2']","[u'0.037846', u'0.94', u'0.00275', u'4798', u'21.729']","[u'4.2', u'690', u'-18.996', u'0.32049', u'6510.6']","[u'7.5571', u'1109', u'-18.994', u'0.32875', u'6246.3']",5019143879262208
26,136,"[u'0.50273', u'1400', u'-7.3661', u'0.056002', u'6838.1']","[u'0.033991', u'0.64', u'0.0075', u'22050', u'2.7517']","[u'0.41071', u'670', u'5.2113', u'0.053535', u'10307']","[u'3.7705', u'857.96', u'5.2127', u'0.063077', u'9539.4']",5022588443033600
26,97,"[u'2.9243', u'3250', u'-3.5149', u'0.38194', u'558.81']","[u'0.069909', u'0.9', u'-0.0115', u'749', u'79.607']","[u'4.3583', u'650', u'-19.994', u'0.36028', u'1914.5']","[u'5.903', u'9284.5', u'-20', u'0.36097', u'1874.5']",5038771879804928
27,119,"[u'3.31', u'2795', u'-2.682', u'0.4918', u'418.95']","[u'0.081927', u'0.91', u'-0.010833', u'558', u'73.132']","[u'5.4108', u'470', u'-18.514', u'0.46852', u'1531.4']","[u'2.5163', u'3587.9', u'-18.509', u'0.46844', u'1500.9']",5042809149063168
26,131,"[u'2.4928', u'3250', u'1.7669', u'0.43301', u'125.5']","[u'0.062971', u'0.92', u'-0.010833', u'175', u'83.637']","[u'3.9363', u'750', u'-15.217', u'0.40379', u'610.44']","[u'5.8007', u'8670.6', u'-15.217', u'0.40405', u'602.3']",5056699073298432
27,123,"[u'1.0173', u'4025', u'-8.4364', u'0.084807', u'5966']","[u'0.028957', u'0.84', u'-0.00525', u'18800', u'1.0311']","[u'0.72904', u'1450', u'8.743', u'0.094868', u'10181']","[u'6.9945', u'2874.3', u'8.7287', u'0.098415', u'9427.2']",5061689825296384
26,213,"[u'4.814', u'5360', u'-14.553', u'0.37755', u'2451']","[u'0.025601', u'0.97', u'-0.0045833', u'4815', u'11.708']","[u'5.2482', u'1610', u'-16.843', u'0.4284', u'6522.6']","[u'2.3101', u'9379.6', u'-16.827', u'0.43848', u'6257']",5074883964829696
26,221,"[u'0.062823', u'4135', u'2.9035', u'0.019991', u'758.28']","[u'0.015896', u'0.13', u'0.00725', u'1017', u'101.29']","[u'0.055042', u'1700', u'-2.0917', u'0.013116', u'2400.3']","[u'1.7509', u'1939.8', u'-2.047', u'0.02257', u'2345.9']",5083087352365056
28,187,"[u'4.0373', u'6780', u'-6.6383', u'0.51533', u'456.11']","[u'0.036893', u'0.96', u'-0.01', u'634', u'13.282']","[u'4.1757', u'1200', u'-8.0701', u'0.46389', u'1688.2']","[u'6.0728', u'9031', u'-8.0754', u'0.4678', u'1654']",5091548437938176
27,209,"[u'2.3478', u'2510', u'2.6909', u'0.39447', u'163.15']","[u'0.089955', u'0.88', u'-0.01125', u'216', u'16.643']","[u'2.685', u'390', u'-0.078898', u'0.38837', u'724.2']","[u'7.6517', u'3493.7', u'-0.089605', u'0.38985', u'712.58']",5095585707196416
26,215,"[u'3.7758', u'1490', u'-9.6077', u'0.30963', u'4035.3']","[u'0.06737', u'0.91', u'-0.0010833', u'8880', u'0.96251']","[u'2.9473', u'330', u'7.903', u'0.38481', u'8545.6']","[u'5.375', u'610.37', u'7.903', u'0.39293', u'8081.7']",5108109831831552
27,234,"[u'1.728', u'1475', u'-11.17', u'0.14103', u'5549.5']","[u'0.037846', u'0.88', u'-0.01', u'22050', u'10.314']","[u'1.989', u'1470', u'-12.909', u'0.16348', u'10307']","[u'1.462', u'7703.6', u'-12.907', u'0.16492', u'10910']",5124696995528704
26,226,"[u'3.975', u'2735', u'-9.1197', u'0.37961', u'2153.8']","[u'0.054943', u'0.93', u'-0.00925', u'3462', u'1.2769']","[u'2.8848', u'780', u'7.644', u'0.40069', u'5433.6']","[u'0.51053', u'3191.9', u'7.6469', u'0.40198', u'5242.4']",5128141559300096
27,214,"[u'0.61384', u'7180', u'-2.1504', u'0.078739', u'813.06']","[u'0.024875', u'0.8', u'-0.0055833', u'1141', u'4.5098']","[u'0.45854', u'1810', u'6.783', u'0.066473', u'2608.7']","[u'7.0145', u'3337.6', u'6.8125', u'0.069574', u'2547.3']",5140717223542784
26,222,"[u'4.2157', u'2585', u'-6.6738', u'0.47661', u'1095']","[u'0.0739', u'0.92', u'-0.010583', u'1569', u'2.7254']","[u'3.4722', u'530', u'5.0184', u'0.47389', u'3266.2']","[u'1.2062', u'3652.9', u'5.0267', u'0.47403', u'3180']",5149745244798976
26,233,"[u'0.076485', u'5950', u'-72.076', u'0.0089432', u'7197.1']","[u'0.011859', u'0.3', u'-0.00083333', u'1178', u'13.441']","[u'0.051083', u'2910', u'8.5013', u'0.011202', u'2669.2']","[u'3.3058', u'4381.6', u'8.5918', u'0.016694', u'2605.4']",5156995149594624
27,210,"[u'0.74717', u'4755', u'-43.63', u'0.059014', u'5569.5']","[u'0.012948', u'0.89', u'-0.005', u'22050', u'16.839']","[u'0.79904', u'3670', u'-17.654', u'0.060703', u'10307']","[u'2.6267', u'7496.1', u'-17.609', u'0.064037', u'9507.5']",5168634510966784
26,231,"[u'0.632', u'6495', u'2.0548', u'0.10379', u'320.49']","[u'0.034989', u'0.79', u'-0.0085', u'434', u'6.2107']","[u'0.51429', u'1430', u'8.5149', u'0.089076', u'1260.9']","[u'5.7901', u'4101.2', u'8.5025', u'0.090832', u'1237.9']",5173324615254016
