count,index,parameters,key
4,221,"[u'-82.77141', u'0.05202', u'9.31095', u'0.00481', u'0.70482']",6384721483268096
4,252,"[u'-92.38646', u'13.14758', u'18.09449', u'0.00595', u'0.63380']",6386304984023040
5,235,"[u'-42.60849', u'5.51052', u'2.39832', u'0.04450', u'0.44834']",6413927260880896
4,240,"[u'-98.72893', u'21.59620', u'15.05011', u'0.04796', u'0.66493']",6419686543589376
5,194,"[u'-82.26285', u'35.63715', u'9.15025', u'0.04809', u'0.82979']",6426334079221760
4,190,"[u'-31.56253', u'33.08836', u'16.71297', u'0.02676', u'0.07471']",6473924464345088
5,179,"[u'-79.72821', u'7.92887', u'18.19801', u'0.03842', u'0.04540']",6476410981974016
5,135,"[u'-32.40342', u'14.89251', u'19.43709', u'0.03520', u'0.88080']",6478897499602944
4,218,"[u'-61.36400', u'1.32718', u'2.81216', u'0.02361', u'0.08456']",6480743261798400
5,206,"[u'-66.09032', u'12.96880', u'2.58300', u'0.04404', u'0.93306']",6483870534860800
4,188,"[u'-82.54971', u'37.09952', u'9.34355', u'0.00381', u'0.13285']",6488831490523136
5,236,"[u'-82.41376', u'37.58644', u'4.02190', u'0.04428', u'0.61133']",6492979220971520
5,128,"[u'-33.92483', u'27.20713', u'18.73825', u'0.04839', u'0.37509']",6493816605376512
4,182,"[u'-83.64490', u'9.04835', u'19.09038', u'0.04706', u'0.64039']",6498738906333184
4,152,"[u'-57.89837', u'5.91398', u'1.52495', u'0.04943', u'0.51158']",6503738516701184
5,193,"[u'-27.15056', u'23.95472', u'5.43410', u'0.03304', u'0.01143']",6508673702559744
4,186,"[u'-35.91542', u'15.93129', u'18.89454', u'0.01903', u'0.02263']",6520498015961088
4,158,"[u'-28.63355', u'14.76367', u'8.40215', u'0.00908', u'0.00766']",6525458971623424
4,136,"[u'-84.63999', u'14.17823', u'5.50072', u'0.00106', u'0.05194']",6527042472378368
4,154,"[u'-99.77525', u'0.23337', u'15.10507', u'0.01466', u'0.47566']",6536887074291712
4,109,"[u'-49.43752', u'21.85608', u'1.42586', u'0.00727', u'0.97260']",6554664749236224
4,132,"[u'-27.38746', u'31.34946', u'3.82084', u'0.02893', u'0.08885']",6560424031944704
5,184,"[u'-81.60150', u'30.67326', u'17.34188', u'0.01013', u'0.02828']",6564572165046272
5,115,"[u'-32.92821', u'36.46590', u'17.27066', u'0.03203', u'0.13470']",6567071567577088
4,129,"[u'-27.58346', u'1.67279', u'7.41843', u'0.00660', u'0.46371']",6576993478901760
5,187,"[u'-81.18486', u'0.37330', u'14.80610', u'0.02376', u'0.95354']",6585456175087616
4,166,"[u'-73.32386', u'13.26661', u'3.34652', u'0.00706', u'0.99843']",6593752978161664
