likert,effectTime,didnotagree,rawwords,agreed,when,userid,effect,param,quiet,surveyID,sessionid,key,useragent,ind,cleanTime,irb,words,audioFile,listen
1,19.419,"simple,hollow,echo,full,empty-room,none of the above",hard,high-ceiling,2016-03-12T06:53:57,mnBtWiJxmQjrYcpDF5zy,compression,"-47.0550,30.4844,1.5874,0.0054,0.1064",yes,fWMQmWPj1VrVvQf2KJdp,BdcIfJVouTAPVuDUQDh2,4671001883312128,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",99,31.017,true,hard,/static/audio/drums4.wav,headphones
2,51.612,"refined,deeper,sharp,none of the above","up-front,loud,realistic,non-distorting,no-frills,plain,basic","clear,enhancing,clarifying",2016-04-08T18:08:17,7m8pySJupBoZktgQCc1g,compression,"-35.6640,30.5305,15.4205,0.0113,0.0291",yes,qAV6OnoFjJokJ7bUdnYk,quS2zXjcpLz1KR8l3mC7,4672220043411456,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",199,39.486,true,"up-front,loud,realistic,non-distorting,no-frills,plain,basic",/static/audio/vocals2.wav,standalone
1,42.862,"big,bass,tinny,closed,more,reverberation,deeper,guitar,feedback,none of the above",muffled,"distant,walled",2016-04-08T18:27:53,6PaoYiZ3yvhFMQ9YfODa,compression,"-73.0538,7.2792,5.0511,0.0039,0.9926",yes,vIHiiMYSk7D5BaNeytdg,z7nVfEogdirU1FgUfvMw,4673956283940864,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",114,17.363,true,muffled,/static/audio/guitar4.wav,headphones
1,49.979,"cores,none of the above","popping,fun,piercing,jumping,blaring","louder,livelier",2016-03-11T23:07:07,sZI2XyRJyeCzv60bGdmd,compression,"-35.9154,15.9313,18.8945,0.0190,0.0226",yes,O9Sc5NnwR1t5lQ8iZm1c,kcajly7nIGV7I5wsrIl3,4677380715053056,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",186,25.458,true,"popping,fun,piercing,jumping,blaring",/static/audio/guitar4.wav,headphones
4,32.583,"too-crunchy,not-soft,harsh,static,bad","energetic,happy,movements",none of the above,2016-03-12T07:41:20,qP1ZOypPTfTJmboTbuYq,compression,"-87.3535,0.7445,11.4654,0.0421,0.0341",yes,zlXOwinlk0PwSAboz4Ib,CILFhsfeCWK8H11V4dmY,4677667135684608,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",102,254.844,true,"energetic,happy,movements",/static/audio/guitar4.wav,headphones
2,24.388,"clearer,vivacious,mysterious-thrilling,none of the above",energy-boom,louder,2016-04-08T18:07:25,TYZDis9tUWwgOGnJjRZE,compression,"-33.3339,21.7465,14.2668,0.0049,0.0076",yes,m4qSbp9aNdECL100AB0j,Ds0I4zaCoVIan9JH2SaZ,4678835903660032,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",138,12.264,true,energy-boom,/static/audio/drums4.wav,headphones
0,11.102,"lower,softer,none of the above","splashy,hued,different,altered",volume,2016-03-11T23:20:21,sZI2XyRJyeCzv60bGdmd,compression,"-80.9160,17.2947,2.4553,0.0455,0.9189",yes,nEA5oWb8AIbYrm0f5SZM,d4FRna38mDQT2lXRp0pC,4679740262711296,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",150,10.238,true,"splashy,hued,different,altered",/static/audio/drums4.wav,headphones
4,48.313,"rich,clear,sharpened,bass,solid,full","louder,quality-decreased,realistic,disruptions,background",none of the above,2016-03-11T23:34:16,vIiwGBI8dyi0MNEkX338,compression,"-93.2986,29.2234,4.2051,0.0415,0.0465",yes,fo7OwlmAAxGb2QzDgbVz,8z8bPDbY1kkOa6COGunB,4680920841846784,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",108,29.167,true,"louder,quality-decreased,realistic,disruptions,background",/static/audio/vocals2.wav,laptop/tablet/cellphone
1,10.782,,muffled,,2016-03-11T21:34:13,ZLmXdvStwg8C5HRlPoXC,compression,"-77.2325,1.7356,3.7703,0.0404,0.9538",yes,WU5vHlieS4YgRVFQVgm4,6f9tCX1HqLOJq4i4Fzcc,4682745666076672,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",81,31.557,true,muffled,/static/audio/vocals2.wav,headphones
2,14.681,"tinnitus-ringing-off,pleasant,space,high-quality-on,none of the above","isolated,close",white-noise-off,2016-04-08T21:20:17,Gc1bN0aYK72hafH72gkF,compression,"-74.1624,32.1186,19.6529,0.0059,0.0654",yes,oxICwaJuHeTxIeyFjkzH,kD6k7UaQADNRCeuQz44a,4683591237763072,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",67,121.235,true,"isolated,close",/static/audio/vocals2.wav,headphones
4,59.678,,"stale,distant",,2016-03-11T21:22:09,uxEAzZ7dRCi44veQy80x,compression,"-78.4521,8.2269,16.9190,0.0476,0.1938",yes,T01VHgVER4RxV0WfJYFK,iOkHECDjDOqnK0O2p3ff,4686668850266112,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",233,34.832,true,"stale,distant",/static/audio/drums4.wav,headphones
2,9.507,,"reverb,echo",,2016-03-11T20:49:34,JFNRtuKWHUWeZI2f7peR,compression,"-98.7126,24.2384,1.9474,0.0108,0.6534",yes,T6bwRu19JLnHH5Jrd0Tb,QV9cHXqXIB0Jg0ADpIpP,4690105360973824,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",201,45.226,true,"revers,echo",/static/audio/drums4.wav,standalone
2,54.847,"loud,phase,rhythm","muted,muffled,quieter,supressed,distorted",none of the above,2016-04-08T18:02:55,xi3KQHc9up60JVnhBOcK,compression,"-56.1320,31.8650,17.9760,0.0093,0.9280",yes,jJdYoB0nL31Saw5x1Jf8,fmWwlcjwg2Kf989vK5k2,4691667655327744,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",202,20.12,true,"muted,muffled,quieter,suppressed,distorted",/static/audio/guitar4.wav,headphones
2,27.845,"full,hard,simple,hollow,empty-room,echo,none of the above","vivace,harmony",high-ceiling,2016-04-08T19:40:09,60H7O1fSLyKBptzZod3K,compression,"-47.0550,30.4844,1.5874,0.0054,0.1064",yes,recAQAhfiRZ1iqxA3G6F,QeIRYSx3j99t2RCqtKsw,4692589060030464,"Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36",99,121.118,true,"vivace,harmony",/static/audio/vocals2.wav,headphones
3,22.227,"more,echo,none of the above","higher-quality,recording,more-pleasant",additional,2016-03-12T00:10:29,sAhfbeiSHwcPlwUMUqJv,compression,"-45.2721,4.3897,11.3551,0.0013,0.1255",yes,j6uc7gpmnAoOdtu2Dorx,CixqNuNz8OOMehK7Y2ro,4693538650456064,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36",181,28.545,true,"higher-quality,recording,more-pleasant",/static/audio/guitar4.wav,headphones
2,28.167,"fake,soft,disruption,forced,mistake,none of the above",echo-muted,weird,2016-03-12T05:16:34,zWFxvYrLLyX4KTLxGWVR,compression,"-92.8661,36.9098,10.4933,0.0433,0.2392",yes,BHwGJcp7IOzjpqRxGnZG,9HxosMg5TMuqbr3JbMxb,4696924695298048,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.87 Safari/537.36",251,18.696,true,echo-muted,/static/audio/vocals2.wav,laptop/tablet/cellphone
